name,tagline,Rota
Brunox1001,br1,Mid
Qats,BR2,Mid
hauz,mid,Mid
send me back,1980,Mid
IDL Toucouille,Gap,Mid
Drakehero,BR07,Jungle
Nero The Fik,los,Jungle
M  T  A  A  Z,1401,Jungle
Dizin,Dizin,Jungle
LEV scary,LTAS,Jungle
Nyu Happy 18th,KR2,Top
you must fear,sword,Top
HiRiT,KBM,Top
W7M Hidan,123,Top
AYELGODLIKEMODE,PIT,Top
Yahallo,2610,Adc
Kojima,ゲツヨウビ,Adc
micaO,1996,Adc
LOUD Route,LTAS,Adc
Marvin,LTAS,Adc
Manel,BR2,Suporte
PAIN Kuri,LTAS,Suporte
konseki,knsk,Suporte
uzent,kr3,Suporte
FLA Momochi,0804,Suporte
